recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3650675,"Brief von Hans-Dieter Walter an Werner Heisenberg, o.D.",o.D.,"Walter, Hans-Dieter","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650686,"Brief von Hildegard Wöhrle von Max-Planck-Institut für Physik. Direktion. Sekretariat an Walter-Verlag (Olten), 25.10.1965",1965-10-25,"Wöhrle, Hildegard (1934-2020); Max-Planck-Institut für Physik. Direktion. Sekretariat",Walter-Verlag (Olten) (1916-2010),"Heisenberg, Werner (1901-1976); Haverbeck, Werner Georg (1909-1999)",Brief
DE-611-HS-3650698,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Ludwig Vaubel an Walter-Raymond-Stiftung der BDA, 05.08.1969",1969-08-05,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Vaubel, Ludwig; Walter-Raymond-Stiftung der BDA (1959-)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3650710,"Brief von Ludwig Vaubel von Walter-Raymond-Stiftung der BDA an Werner Heisenberg, 22.07.1969",1969-07-22,"Vaubel, Ludwig; Walter-Raymond-Stiftung der BDA (1959-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650714,Aktenverweis (Incipit der Unterlage),unknown,,,,unknown
DE-611-HS-3650727,"Brief von Werner Heisenberg an Ernst Carl Gerlach Stueckelberg von Breidenbach an Université de Lausanne . Laboratoire de physique (Lausanne), 13.12.1960",1960-12-13,"Heisenberg, Werner (1901-1976)","Stueckelberg von Breidenbach, Ernst Carl Gerlach; Université de Lausanne (Lausanne). Laboratoire de physique","Wanders, Gérard (1930-)",Brief
DE-611-HS-3650738,"Brief von Ernst Carl Gerlach Stueckelberg von Breidenbach von Université de Lausanne . Laboratoire de physique (Lausanne) an Werner Heisenberg, 05.12.1960",1960-12-05,"Stueckelberg von Breidenbach, Ernst Carl Gerlach; Université de Lausanne (Lausanne). Laboratoire de physique","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650799,"Brief von Gérard Wanders an Werner Heisenberg, 30.09.1959",1959-09-30,"Wanders, Gérard (1930-)","Heisenberg, Werner (1901-1976)","Lehmann, Harry (1924-1998); Zimmermann, Wolfhart (1928-2016)",Brief
DE-611-HS-3650820,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Erich Wanek, 30.07.1962",1962-07-30,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Wanek, Erich (1926-2010)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3650854,"Brief von Erich Wanek an Werner Heisenberg, 13.07.1962",1962-07-13,"Wanek, Erich (1926-2010)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650887,"Brief von Werner Heisenberg an Chia Ping Wang an Case Western Reserve University. Department of Physics, 10.04.1970",1970-04-10,"Heisenberg, Werner (1901-1976)","Wang, Chia Ping; Case Western Reserve University. Department of Physics",,Brief
DE-611-HS-3650916,"Brief von Chia Ping Wang von Case Western Reserve University. Department of Physics an Werner Heisenberg, 08.03.1970",1970-03-08,"Wang, Chia Ping; Case Western Reserve University. Department of Physics","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650929,"Brief von Wolfgang Wangler an Werner Heisenberg, 20.01.1970 [ca.]",1970-01-20,"Wangler, Wolfgang","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650936,Am 1. August 1970 verstarb im 87. Lebensjahr Professor ... Otto Warburg (Incipit der Unterlage),1970-08-03,,,,unknown
DE-611-HS-3650942,"Brief von Otto Warburg an Werner Heisenberg, 17.11.1969",1969-11-17,"Warburg, Otto (1883-1970)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3650996,"Brief von Kurt Ballreich von Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Generalverwaltung an Max-Planck-Gesellschaft zur Förderung der Wissenschaften, 16.09.1963",1963-09-16,"Ballreich, Kurt; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Generalverwaltung",Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-),"Warburg, Otto (1883-1970)",Brief
DE-611-HS-3651012,"Brief von Werner Heisenberg an Otto Warburg an Max-Planck-Institut für Zellphysiologie, 13.12.1957",1957-12-13,"Heisenberg, Werner (1901-1976)","Warburg, Otto (1883-1970); Max-Planck-Institut für Zellphysiologie (1953-1973)","Szilard, Leo (1898-1964) [vermutlich]",Brief
DE-611-HS-3651053,"Brief von Otto Warburg an Werner Heisenberg, 10.12.1957",1957-12-10,"Warburg, Otto (1883-1970)","Heisenberg, Werner (1901-1976)","Szilard, Leo (1898-1964) [vermutlich]",Brief
DE-611-HS-3651064,"Brief von Werner Heisenberg an Hildebrand Gurlitt an Kunstverein für die Rheinlande und Westfalen, 26.07.1955",1955-07-26,"Heisenberg, Werner (1901-1976)","Gurlitt, Hildebrand (1895-1956); Kunstverein für die Rheinlande und Westfalen (1829-)","Warburg, Otto (1883-1970)",Brief
DE-611-HS-3651321,"Brief von Walther von Wartburg an Werner Heisenberg, 22.05.1968",1968-05-22,"Wartburg, Walther von (1888-1971)","Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3651324,"Brief von Werner Heisenberg an Eligio Perucca an Politecnico di Torino, 30.01.1951",1951-01-30,"Heisenberg, Werner (1901-1976)","Perucca, Eligio; Politecnico di Torino (1906-)","Wataghin, Gleb (1899-1986)",Brief
DE-611-HS-3651329,"Brief von Eligio Perucca von Politecnico di Torino an Werner Heisenberg, 25.01.1951",1951-01-25,"Perucca, Eligio; Politecnico di Torino (1906-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651341,"Brief von Gleb Wataghin von Università degli studi di Torino. Instituto di fisica an Werner Heisenberg, 18.07.1949",1949-07-18,"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica","Heisenberg, Werner (1901-1976)","Leal Ferreira, José Hugo",Brief
DE-611-HS-3651348,"Brief von Gleb Wataghin von Università degli studi di Torino. Instituto di fisica an Werner Heisenberg, 14.06.1949",1949-06-14,"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica","Heisenberg, Werner (1901-1976)","Heisenberg, Elisabeth (1914-1998); Koppe, Heinz (1918-2000)",Brief
DE-611-HS-3651353,"Brief von Gleb Wataghin von Università degli studi di Torino. Instituto di fisica an Werner Heisenberg, 01.03.1949",1949-03-01,"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica","Heisenberg, Werner (1901-1976)","Amaldi, Edoardo (1908-1989)",Brief
DE-611-HS-3651364,"Brief von A. P. Waterson von St. Thomas' Hospital (London) an Max-Planck-Institut für Physik. Direktion. Sekretariat, 25.01.1965",1965-01-25,"Waterson, A. P.; St. Thomas' Hospital (London)",Max-Planck-Institut für Physik. Direktion. Sekretariat,,Brief
DE-611-HS-3651383,"Brief von Cambridge University Press an Werner Heisenberg, 17.04.1948",1948-04-17,Cambridge University Press (1583-),"Heisenberg, Werner (1901-1976)","Roberts, Sydney C.",Brief
DE-611-HS-3651394,Aktenverweis (Incipit der Unterlage),unknown,,,,unknown
DE-611-HS-3651404,"Brief von Werner Heisenberg an Wayss-und-Freytag-Aktiengesellschaft, 16.05.1961",1961-05-16,"Heisenberg, Werner (1901-1976)",Wayss-und-Freytag-Aktiengesellschaft (1924-1932),,Brief
DE-611-HS-3651409,"Brief von Wayss-und-Freytag-Aktiengesellschaft an Werner Heisenberg, 12.05.1961",1961-05-12,Wayss-und-Freytag-Aktiengesellschaft (1924-1932),"Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651419,"Brief von Werner Heisenberg an Robert Alexander Weale an University of London. Institute of Ophthalmology, 24.01.1950",1950-01-24,"Heisenberg, Werner (1901-1976)","Weale, Robert Alexander (1922-2013); University of London. Institute of Ophthalmology",,Brief
DE-611-HS-3651425,"Brief von Robert Alexander Weale von University of London. Institute of Ophthalmology an Werner Heisenberg, 20.01.1950",1950-01-20,"Weale, Robert Alexander (1922-2013); University of London. Institute of Ophthalmology","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651436,"Brief von Warren Weaver von The Rockefeller Foundation an Werner Heisenberg, 22.11.1949",1949-11-22,"Weaver, Warren (1923-1997); The Rockefeller Foundation","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651456,"Brief von Wilmot H. Webb von Princeton University. Department of Aeronautical Engineering an Werner Heisenberg, 22.08.1961",1961-08-22,"Webb, Wilmot H.; Princeton University. Department of Aeronautical Engineering (-1978)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-BF-80361,"495. IV. Institutionen, 1. Korrespondenz: Webe-Weid",1951,,,,unknown
DE-611-HS-3651606,"Brief von Anton Weber an Werner Heisenberg, 05.12.1970",1970-12-05,"Weber, Anton","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651612,"Brief von Werner Heisenberg an Anton Weber, 10.12.1970",1970-12-10,"Heisenberg, Werner (1901-1976)","Weber, Anton",,Brief
DE-611-HS-3651617,Aktenverweis (Einheitstitel von Bearbeiter/in),1970,,,,unknown
DE-611-HS-3651628,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Europäische Kommission. Verbindungsbüro, 14.06.1968",1968-06-14,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat",Europäische Kommission. Verbindungsbüro (1967-1976),"Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3651635,"Brief von Werner Heisenberg an Alfred Weber, 11.01.1954",1954-01-11,"Heisenberg, Werner (1901-1976)","Weber, Alfred (1868-1958)",,Brief
DE-611-HS-3651647,"Brief von Alfred Weber an Werner Heisenberg, 06.01.1954",1954-01-06,"Weber, Alfred (1868-1958)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3651664,"Brief von Klaus Gottstein an Erwin Weber, 24.01.1969",1969-01-24,"Gottstein, Klaus (1924-2020)","Weber, Erwin",,Brief
DE-611-HS-3651679,Aktenverweis (Einheitstitel von Bearbeiter/in),1964-10-02,,,,unknown
DE-611-HS-3651685,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Günter Gerhard Weber an Theoretical Chemistry Institute, 05.11.1964",1964-11-05,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weber, Günter Gerhard [vermutlich]; Theoretical Chemistry Institute","Heisenberg, Werner (1901-1976); Biermann, Ludwig (1907-1986)",Brief
DE-611-HS-3651695,Am 12. Juni 1974 starb in Heidelberg ... Professor ... Hans-Hermann Weber (Incipit der Unterlage),1974-06-15,"Lüst, Reimar (1923-2020); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)",,,unknown
DE-611-HS-3651699,Aktenverweis (Einheitstitel von Bearbeiter/in),1970,,,,unknown
DE-611-HS-3651718,"Brief von Hans Hermann Weber von Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie, Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion an Werner Heisenberg, 03.06.1969",1969-06-03,"Weber, Hans Hermann (1896-1974); Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion","Heisenberg, Werner (1901-1976)","Melchers, Georg (1906-1997)",Brief
DE-611-HS-3653521,"Brief von Werner Heisenberg an Hans Hermann Weber an Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion, 22.05.1969",1969-05-22,"Heisenberg, Werner (1901-1976)","Weber, Hans Hermann (1896-1974); Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion","Melcher, Rudolf",Brief
DE-611-HS-3653529,"Brief von Hans Hermann Weber von Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie, Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion an Werner Heisenberg, 16.05.1969",1969-05-16,"Weber, Hans Hermann (1896-1974); Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion","Heisenberg, Werner (1901-1976)","Melchers, Georg (1906-1997)",Brief
DE-611-HS-3653547,"Brief von Werner Heisenberg an Spedition Hermann Weber, 10.07.1958",1958-07-10,"Heisenberg, Werner (1901-1976)",Spedition Hermann Weber (1892-),,Brief
DE-611-HS-3653552,"Brief von Werner Heisenberg an Horst Weber, 05.08.1974",1974-08-05,"Heisenberg, Werner (1901-1976)","Weber, Horst","Weizsäcker, Carl Friedrich von (1912-2007)",Brief
DE-611-HS-3653596,"Brief von Horst Weber an Werner Heisenberg, 31.07.1974",1974-07-31,"Weber, Horst","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3653621,"Brief von Jack M. Webster an Werner Heisenberg, 14.05.1972",1972-05-14,"Webster, Jack M.","Heisenberg, Werner (1901-1976)","Einstein, Albert (1879-1955)",Brief
DE-611-HS-3653641,"Brief von Jack M. Webster an Werner Heisenberg, 11.05.1972",1972-05-11,"Webster, Jack M.","Heisenberg, Werner (1901-1976)","Einstein, Albert (1879-1955)",Brief
DE-611-HS-3653652,"Brief von Thomas Wechs an Werner Heisenberg, 1968",1968,"Wechs, Thomas (1893-1970)","Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3653664,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3653669,"Brief von Werner Heisenberg an Thomas Wechs und Thomas Wechs, 27.07.1964",1964-07-27,"Heisenberg, Werner (1901-1976)","Wechs, Thomas (1893-1970); Wechs, Thomas",,Brief
DE-611-HS-3653673,"Brief von Thomas Wechs an Werner Heisenberg, 20.07.1964",1964-07-20,"Wechs, Thomas (1893-1970)","Heisenberg, Werner (1901-1976)","Wechs, Thomas",Brief
DE-611-HS-3653688,"Brief von Wiltrud Huber von Max-Planck-Institut für Physik. Direktion. Sekretariat an Rudolph Weckering, 02.06.1967",1967-06-02,"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weckering, Rudolph [vermutlich]","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3653699,"Brief von Rudolph Weckering an Werner Heisenberg, 15.05.1967",1967-05-15,"Weckering, Rudolph","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3653706,"Brief von Graf von Emil Wedel an Werner Heisenberg, 1962 [November]",1962,"Wedel, Emil, Graf von","Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3653721,"Brief von Werner Heisenberg an Graf von Emil Wedel, 30.04.1962",1962-04-30,"Heisenberg, Werner (1901-1976)","Wedel, Emil, Graf von",,Brief
DE-611-HS-3653732,"Brief von Graf von Emil Wedel an Werner Heisenberg, 24.04.1962",1962-04-24,"Wedel, Emil, Graf von","Heisenberg, Werner (1901-1976)","Bernal, John D. (1901-1971)",Brief
DE-611-HS-3653885,"Brief von Werner Heisenberg an Mogens Wegener, 22.02.1963",1963-02-22,"Heisenberg, Werner (1901-1976)","Wegener, Mogens","Bohr, Niels (1885-1962)",Brief
DE-611-HS-3653908,"Brief von Mogens Wegener an Werner Heisenberg, 17.02.1963",1963-02-17,"Wegener, Mogens","Heisenberg, Werner (1901-1976)","Bohr, Niels (1885-1962)",Brief
DE-611-HS-3653922,"Brief von Peter P. Wegener von US Naval Ordnance Laboratory (White Oak, Md.) an Werner Heisenberg, 24.09.1951",1951-09-24,"Wegener, Peter P. (1917-2008); US Naval Ordnance Laboratory (White Oak, Md.)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3653927,"Brief von Howard McMillen von US Naval Ordnance Laboratory (White Oak, Md.) an Werner Heisenberg, 24.07.1951",1951-07-24,"McMillen, Howard [vermutlich]; US Naval Ordnance Laboratory (White Oak, Md.)","Heisenberg, Werner (1901-1976)","Wegener, Peter P. (1917-2008)",Brief
DE-611-HS-3653940,"Brief von Raymond J. Seeger von US Naval Ordnance Laboratory (White Oak, Md.) an Werner Heisenberg, 24.07.1951",1951-07-24,"Seeger, Raymond J.; US Naval Ordnance Laboratory (White Oak, Md.)","Heisenberg, Werner (1901-1976)","Wegener, Peter P. (1917-2008); Kurzweg, Hermann (1908-2000); Weizsäcker, Carl Friedrich von (1912-2007)",Brief
DE-611-HS-3653961,"Brief von Karl Hermann Wegerhoff an Werner Heisenberg, o.D.",o.D.,"Wegerhoff, Karl Hermann (1926-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3653969,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Christian-Wegner-Verlag, 03.11.1967",1967-11-03,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat",Christian-Wegner-Verlag,"Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3653978,"Brief von Maria Honeit von Christian-Wegner-Verlag an Werner Heisenberg, 05.09.1967",1967-09-05,"Honeit, Maria; Christian-Wegner-Verlag","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654007,"Brief von Hans A. Neunzig von Christian-Wegner-Verlag an Werner Heisenberg, 09.12.1966",1966-12-09,"Neunzig, Hans A.; Christian-Wegner-Verlag","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654008,"Brief von Werner Heisenberg an Hans A. Neunzig an Christian-Wegner-Verlag, 19.12.1966",1966-12-19,"Heisenberg, Werner (1901-1976)","Neunzig, Hans A.; Christian-Wegner-Verlag",,Brief
DE-611-HS-3654014,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Wilfried Wehling, 02.02.1971",1971-02-02,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Wehling, Wilfried","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654017,"Brief von Wilfried Wehling an Werner Heisenberg, 23.01.1971",1971-01-23,"Wehling, Wilfried","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654022,"Brief von Werner Heisenberg an Günther Wehr, 23.05.1973",1973-05-23,"Heisenberg, Werner (1901-1976)","Wehr, Günther [vermutlich]","Simmerding, Franz [vermutlich]",Brief
DE-611-HS-3654186,"Brief von Werner Heisenberg an O. H. Wehrmann an Boeing Scientific Laboratories (Seattle), 14.06.1967",1967-06-14,"Heisenberg, Werner (1901-1976)","Wehrmann, O. H.; Boeing Scientific Laboratories (Seattle)",,Brief
DE-611-HS-3654199,"Brief von O. H. Wehrmann von Boeing Scientific Laboratories (Seattle) an Werner Heisenberg, 05.06.1967",1967-06-05,"Wehrmann, O. H.; Boeing Scientific Laboratories (Seattle)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654212,"Brief von Hartmut Wehrt an Annemarie Giese, 12.03.1973",1973-03-12,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654263,"Brief von Hartmut Wehrt an Annemarie Giese, 03.02.1973",1973-02-03,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654302,"Brief von Annemarie Giese an Hartmut Wehrt, 18.10.1971",1971-10-18,"Giese, Annemarie","Wehrt, Hartmut","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654314,"Brief von Hartmut Wehrt an Annemarie Giese, 06.11.1970",1970-11-06,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654320,"Brief von Hartmut Wehrt an Annemarie Giese, 09.09.1968",1968-09-09,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654328,"Brief von Hartmut Wehrt an Annemarie Giese, 04.09.1968",1968-09-04,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654338,"Brief von Annemarie Giese an Hartmut Wehrt, 21.09.1966",1966-09-21,"Giese, Annemarie","Wehrt, Hartmut","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654354,"Brief von Hartmut Wehrt an Annemarie Giese, 19.09.1966",1966-09-19,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654363,"Brief von Annemarie Giese an Hartmut Wehrt, 17.08.1966",1966-08-17,"Giese, Annemarie","Wehrt, Hartmut","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654370,"Brief von Hartmut Wehrt an Annemarie Giese, 1966 [Aug.]",1966,"Wehrt, Hartmut [vermutlich]","Giese, Annemarie","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654376,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3654393,"Brief von L. Y. Wei von University of Washington. Department of Electrical Engineering an Werner Heisenberg, 07.07.1959",1959-07-07,"Wei, L. Y.; University of Washington. Department of Electrical Engineering (-2018)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654423,"Brief von L. Weibel-Baron an Werner Heisenberg, 1968 [ca.]",1968,"Weibel-Baron, L.","Heisenberg, Werner (1901-1976) [vermutlich]",,Brief
DE-611-HS-3654439,"Brief von L. Weibel-Baron an Werner Heisenberg, 10.02.1968",1968-02-10,"Weibel-Baron, L.","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654468,"Brief von Werner Heisenberg an Klaus Weidauer, 07.03.1968",1968-03-07,"Heisenberg, Werner (1901-1976)","Weidauer, Klaus (1921-2013)",,Brief
DE-611-HS-3654477,"Brief von Klaus Weidauer von Schule Birklehof an Werner Heisenberg, 26.02.1968",1968-02-26,"Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654481,"Brief von Werner Heisenberg an Klaus Weidauer an Schule Birklehof, 22.02.1968",1968-02-22,"Heisenberg, Werner (1901-1976)","Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)",,Brief
DE-611-HS-3654489,"Brief von Klaus Weidauer von Schule Birklehof an Werner Heisenberg, 14.02.1968",1968-02-14,"Weidauer, Klaus (1921-2013); Schule Birklehof (1932-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654638,"Brief von Elisabeth Weidauer an Werner Heisenberg, 14.05.1953",1953-05-14,"Weidauer, Elisabeth","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3654672,"Brief von Bernd Acker von Universität Karlsruhe. Institut für Technische Mechanik an Werner Heisenberg, 18.12.1970",1970-12-18,"Acker, Bernd; Universität Karlsruhe. Institut für Technische Mechanik (-2009)","Heisenberg, Werner (1901-1976)","Weidenhammer, F.",Brief
DE-611-HS-3654682,Aktenverweis (Einheitstitel von Bearbeiter/in),unknown,,,,unknown
DE-611-HS-3654690,"Brief von Gerhart Lüders an Hans-Arwed Weidenmüller an University of Minnesota. Department of Physics, 02.06.1959",1959-06-02,"Lüders, Gerhart (1920-1995)","Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics",,Brief
DE-611-HS-3654693,"Brief von Gerhart Lüders an Hans-Arwed Weidenmüller an University of Minnesota. Department of Physics, 10.06.1959",1959-06-10,"Lüders, Gerhart (1920-1995)","Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654700,"Brief von Hans-Arwed Weidenmüller von University of Minnesota. Department of Physics an Gerhart Lüders, 15.06.1959",1959-06-15,"Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics","Lüders, Gerhart (1920-1995)","Heisenberg, Werner (1901-1976)",Brief
DE-611-HS-3654706,"Brief von Gerhart Lüders an Hans-Arwed Weidenmüller an University of Minnesota. Department of Physics, 23.06.1959",1959-06-23,"Lüders, Gerhart (1920-1995)","Weidenmüller, Hans-Arwed (1933-); University of Minnesota. Department of Physics",,Brief
DE-611-HS-3655589,Aktenverweis (Einheitstitel von Bearbeiter/in),1972-07-11,,,,unknown
DE-611-HS-3655594,Aktenverweis (Einheitstitel von Bearbeiter/in),1958-11-10,,,,unknown
DE-611-HS-3655599,"Brief von Annemarie Giese von Max-Planck-Institut für Physik. Direktion. Sekretariat an Julius Weidner, 03.11.1958",1958-11-03,"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat","Weidner, Julius","Heisenberg, Werner (1901-1976); Lüders, Gerhart (1920-1995); Symanzik, Kurt (1923-1983)",Brief
DE-611-HS-3655601,"Brief von Julius Weidner an Werner Heisenberg, 28.07.1958",1958-07-28,"Weidner, Julius","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655607,"Brief von Werner Heisenberg an Julius Weidner, 24.05.1957",1957-05-24,"Heisenberg, Werner (1901-1976)","Weidner, Julius",,Brief
DE-611-HS-3655609,"Brief von Julius Weidner an Werner Heisenberg, 22.05.1958",1958-05-22,"Weidner, Julius","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655614,"Brief von Julius Weidner an Werner Heisenberg, 01.05.1957",1957-05-01,"Weidner, Julius","Heisenberg, Werner (1901-1976)","Bopp, Fritz (1909-1987)",Brief
DE-611-HS-3655618,"Brief von Julius Weidner an Werner Heisenberg, 10.09.1956",1956-09-10,"Weidner, Julius","Heisenberg, Werner (1901-1976)","Bopp, Fritz (1909-1987)",Brief
DE-611-HS-3655630,"Brief von Werner Heisenberg an Bernd Acker an Universität Karlsruhe. Institut für Technische Mechanik, 21.12.1970",1970-12-21,"Heisenberg, Werner (1901-1976)","Acker, Bernd; Universität Karlsruhe. Institut für Technische Mechanik (-2009)","Weidenhammer, F.",Brief
DE-611-BF-80362,"496. IV. Institutionen, 1. Korrespondenz: Weig-Weiz",1951,,,,unknown
DE-611-HS-3655663,"Brief von Walter Weigmann an Werner Heisenberg, 09.03.1937",1937-03-09,"Weigmann, Walter (1902-1945) [vermutlich]","Heisenberg, Werner (1901-1976)","Heisenberg, Elisabeth (1914-1998)",Brief
DE-611-HS-3655724,"Brief von Werner Heisenberg an Hermann J. Weihe, 07.07.1971",1971-07-07,"Heisenberg, Werner (1901-1976)","Weihe, Hermann J.",,Brief
DE-611-HS-3655730,"Brief von Hermann J. Weihe an Werner Heisenberg, 21.06.1971",1971-06-21,"Weihe, Hermann J.","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655735,"Brief von Werner Heisenberg an Karl Weimer, 22.05.1957",1957-05-22,"Heisenberg, Werner (1901-1976)","Weimer, Karl","Gierke, Gerhart von (1922-2003)",Brief
DE-611-HS-3655737,"Brief von Karl Weimer von Physikalische Studiengesellschaft (Düsseldorf) an Werner Heisenberg, 24.04.1957",1957-04-24,"Weimer, Karl; Physikalische Studiengesellschaft (Düsseldorf)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655742,Visitenkarte Hermann Wein (Einheitstitel von Bearbeiter/in),1967,,,,unknown
DE-611-HS-3655747,"Brief von Hermann Wein an Werner Heisenberg, o.D.",o.D.,"Wein, Hermann","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655752,"Brief von Martin Wein an Werner Heisenberg, 27.02.1967",1967-02-27,"Wein, Martin (1925-) [vermutlich]","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3655753,"Brief von Werner Heisenberg an Martin Wein, 15.03.1966",1966-03-15,"Heisenberg, Werner (1901-1976)","Wein, Martin (1925-)",,Brief
